course,relative_path,extension,size_bytes,status,note,detail
Digital Forensic,Project Digital Forensic  Copy\integration-forenchain-backend-main\storage\d6b0ccfa-7697-4fac-927f-883697305b4e\hart_ip.pcap,.pcap,11932,indexed_unknown_only,,Unknown extension; indexed only.
Digital Forensic,Project Digital Forensic  Copy\integration-forenchain-backend-main\storage\deea20d7-876a-4327-b98e-aa41f4698252\analysis_report.json,.json,58,text_imported,Digital Forensic\Text\analysis_report-601e30d948.md,1 lines
Digital Forensic,Project Digital Forensic  Copy\integration-forenchain-backend-main\storage\deea20d7-876a-4327-b98e-aa41f4698252\hart_ip.pcap,.pcap,11932,indexed_unknown_only,,Unknown extension; indexed only.
Digital Forensic,Project Digital Forensic  Copy\integration-forenchain-backend-main\storage\ebae3217-7fd4-4bb8-a5c7-024c08c97b0c\analysis_report.json,.json,58,text_imported,Digital Forensic\Text\analysis_report-c3bdda496c.md,1 lines
Digital Forensic,Project Digital Forensic  Copy\integration-forenchain-backend-main\storage\ebae3217-7fd4-4bb8-a5c7-024c08c97b0c\forensic.dd,.dd,38,asset_linked,Digital Forensic\Assets\forensic-424f266c1e.md,Linked original asset
Digital Forensic,Project Digital Forensic  Copy\integration-forenchain-backend-main\storage\f00bb516-0058-4741-a5e7-9cf325c6466d\analysis_report.json,.json,58,text_imported,Digital Forensic\Text\analysis_report-89bd66786d.md,1 lines
Digital Forensic,Project Digital Forensic  Copy\integration-forenchain-backend-main\storage\f00bb516-0058-4741-a5e7-9cf325c6466d\hart_ip.pcap,.pcap,11932,indexed_unknown_only,,Unknown extension; indexed only.
Digital Forensic,Project Digital Forensic  Copy\integration-forenchain-backend-main\storage\fc907239-f291-460e-ae80-e7f0db6746cb\analysis_report.json,.json,58,text_imported,Digital Forensic\Text\analysis_report-3f128867a8.md,1 lines
Digital Forensic,Project Digital Forensic  Copy\integration-forenchain-backend-main\storage\fc907239-f291-460e-ae80-e7f0db6746cb\hart_ip.pcap,.pcap,11932,indexed_unknown_only,,Unknown extension; indexed only.
Digital Forensic,Project Digital Forensic  Copy\integration-forenchain-backend-main\storage\fc907239-f291-460e-ae80-e7f0db6746cb\nb6-startup.pcap,.pcap,87143,indexed_unknown_only,,Unknown extension; indexed only.
Digital Forensic,Project Digital Forensic  Copy\integration-forenchain-backend-main\tasks.py,.py,802,text_imported,Digital Forensic\Text\tasks-cae03eca4d.md,18 lines
Digital Forensic,Project Digital Forensic  Copy\integration-forenchain-backend-main\vt_client.py,.py,4226,text_imported,Digital Forensic\Text\vt_client-e045d2c12e.md,117 lines
Digital Forensic,Project Digital Forensic  Copy\integration-forenchain-frontend-main\.git\COMMIT_EDITMSG,(none),35,indexed_vendor_only,,Skipped content import for vendor/cache/git path.
